cohort_date,cohort_size,avg_ltv_7_days,avg_ltv_14_days,avg_ltv_21_days,avg_ltv_1_month,avg_ltv_3_months,avg_ltv_6_months,avg_ltv_12_months,avg_ltv_18_months,avg_ltv_24_months
2023-11-05,1,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78
2023-11-08,1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
2023-11-09,2,38.83,38.83,38.83,44.07,49.31,49.31,49.31,49.31,49.31
2023-11-10,1,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97
2023-11-11,1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
2023-11-14,2,8.73,8.73,8.73,13.97,13.97,13.97,13.97,13.97,13.97
2023-11-20,2,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58
2023-11-23,3,33.34,38.23,38.23,38.23,38.23,38.23,38.23,38.23,38.23
2023-11-26,2,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99
2023-11-27,1,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99
2023-11-28,1,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99
2023-11-30,1,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99
2023-12-01,1,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98
2023-12-02,1,29.36,29.36,29.36,29.36,29.36,29.36,29.36,29.36,29.36
2023-12-03,4,38.12,45.46,51.58,55.25,62.59,62.59,62.59,62.59,62.59
2023-12-04,2,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23
2023-12-05,4,40.23,46.34,52.46,58.57,83.04,83.04,83.04,83.04,83.04
2023-12-07,1,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99
2023-12-08,1,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98
2023-12-09,2,39.14,46.48,53.82,61.16,88.07,88.07,88.07,88.07,88.07
2023-12-10,4,29.9,33.57,37.24,40.91,45.8,45.8,45.8,45.8,45.8
2023-12-11,2,69.98,69.98,69.98,69.98,69.98,69.98,69.98,69.98,69.98
2023-12-12,2,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88
2023-12-13,2,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44
2023-12-14,1,19.57,29.36,39.14,48.93,92.97,92.97,92.97,92.97,92.97
2023-12-15,2,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34
2023-12-16,2,42.67,42.67,50.01,50.01,50.01,50.01,50.01,50.01,50.01
2023-12-17,2,29.36,36.7,44.04,51.38,66.06,66.06,66.06,66.06,66.06
2023-12-18,5,45.33,45.33,45.33,45.33,48.27,48.27,48.27,48.27,48.27
2023-12-19,3,19.57,27.73,30.99,34.25,37.51,37.51,37.51,37.51,37.51
2023-12-20,2,26.23,26.23,26.23,26.23,26.23,26.23,26.23,26.23,26.23
2023-12-21,1,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68
2023-12-22,3,56.44,61.33,66.23,71.12,76.01,76.01,76.01,76.01,76.01
2023-12-23,2,56.67,56.67,56.67,56.67,56.67,56.67,56.67,56.67,56.67
2023-12-24,4,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
2023-12-25,2,49.33,49.33,49.33,49.33,49.33,49.33,49.33,49.33,49.33
2023-12-27,2,67.14,81.82,81.82,89.16,103.83,103.83,103.83,103.83,103.83
2023-12-28,3,21.2,29.36,32.62,35.88,44.04,44.04,44.04,44.04,44.04
2023-12-29,4,19.87,26.12,32.34,36.04,42.15,42.15,42.15,42.15,42.15
2023-12-30,3,16.31,19.57,27.73,40.77,55.45,55.45,55.45,55.45,55.45
2023-12-31,1,19.57,29.36,39.14,48.93,68.5,68.5,68.5,68.5,68.5
2024-01-01,7,28.58,29.98,31.37,32.77,35.57,35.57,35.57,35.57,35.57
2024-01-02,6,39.34,46.68,52.39,57.28,64.62,64.62,64.62,64.62,64.62
2024-01-03,5,35.12,37.07,39.03,40.99,43.92,43.92,43.92,43.92,43.92
2024-01-04,1,39.14,39.14,39.14,39.14,44.04,44.04,44.04,44.04,44.04
2024-01-05,2,29.36,44.04,48.93,53.82,61.16,61.16,61.16,61.16,61.16
2024-01-06,5,27.83,34.68,41.53,45.45,52.3,52.3,52.3,52.3,52.3
2024-01-07,1,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99
2024-01-08,3,31.71,38.23,44.76,51.28,57.81,57.81,57.81,57.81,57.81
2024-01-09,5,22.51,26.42,30.34,34.25,38.17,38.17,38.17,38.17,38.17
2024-01-10,4,23.24,33.03,51.92,56.81,59.26,59.26,59.26,59.26,59.26
2024-01-11,8,28.85,35.57,42.3,50.86,52.09,52.09,52.09,52.09,52.09
2024-01-12,3,28.45,31.71,34.97,38.23,39.86,39.86,39.86,39.86,39.86
2024-01-13,2,17.13,22.02,26.91,31.8,34.25,34.25,34.25,34.25,34.25
2024-01-14,3,34.97,38.23,41.5,44.76,44.76,44.76,44.76,44.76,44.76
2024-01-15,4,39.0,42.67,46.34,46.34,46.34,46.34,46.34,46.34,46.34
2024-01-16,1,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99
2024-01-17,1,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79
2024-01-18,2,26.91,31.8,41.59,51.38,51.38,51.38,51.38,51.38,51.38
2024-01-19,2,25.2,25.2,25.2,30.09,30.09,30.09,30.09,30.09,30.09
2024-01-20,3,41.04,47.56,54.09,57.35,57.35,57.35,57.35,57.35,57.35
2024-01-21,5,48.98,53.87,55.83,55.83,55.83,55.83,55.83,55.83,55.83
2024-01-22,8,40.84,43.9,46.95,46.95,46.95,46.95,46.95,46.95,46.95
2024-01-23,7,39.88,42.67,44.77,44.77,44.77,44.77,44.77,44.77,44.77
2024-01-24,8,35.67,39.34,39.96,39.96,39.96,39.96,39.96,39.96,39.96
2024-01-25,6,32.98,36.24,37.87,37.87,37.87,37.87,37.87,37.87,37.87
2024-01-26,10,28.32,34.19,36.15,36.15,36.15,36.15,36.15,36.15,36.15
2024-01-27,10,26.85,31.75,34.19,34.19,34.19,34.19,34.19,34.19,34.19
2024-01-28,1,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98
2024-01-29,3,36.6,39.87,39.87,39.87,39.87,39.87,39.87,39.87,39.87
2024-01-30,9,21.99,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.25
2024-01-31,5,21.11,22.09,22.09,22.09,22.09,22.09,22.09,22.09,22.09
2024-02-01,9,26.25,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8
2024-02-02,2,18.19,18.19,18.19,18.19,18.19,18.19,18.19,18.19,18.19
2024-02-03,4,18.0,20.27,20.27,20.27,20.27,20.27,20.27,20.27,20.27
2024-02-04,5,19.72,19.72,19.72,19.72,19.72,19.72,19.72,19.72,19.72
2024-02-05,6,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31
2024-02-06,8,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98
2024-02-07,4,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68
2024-02-08,2,78.39,78.39,78.39,78.39,78.39,78.39,78.39,78.39,78.39
2024-02-09,2,12.58,12.58,12.58,12.58,12.58,12.58,12.58,12.58,12.58
2024-02-10,4,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
2024-02-11,5,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74
2024-02-12,2,18.19,18.19,18.19,18.19,18.19,18.19,18.19,18.19,18.19
2024-02-13,1,12.58,12.58,12.58,12.58,12.58,12.58,12.58,12.58,12.58
2024-02-14,1,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89
2024-02-15,4,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42
2024-02-16,1,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19
2024-02-18,2,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
