date,country,product_identifier,store,platform,product_duration,transactions,proceeds,new_revenue,renewal_revenue,trials_started,trials_converted,avg_trial_duration_days
2023-09-10,US,lists_4799_1y,app_store,iOS,P1Y,1,67.185999999999993,67.185999999999993,0.0,0,0,
2023-09-11,AU,lists_4799_1y,app_store,iOS,P1Y,1,65.130202482606151,65.130202482606151,0.0,0,0,
2023-09-11,US,lists_4799_1y,app_store,iOS,P1Y,1,67.185999999999993,67.185999999999993,0.0,0,0,
2023-09-12,US,lists_4799_1y,app_store,iOS,P1Y,1,67.185999999999993,67.185999999999993,0.0,0,0,
2023-09-13,US,lists_499_1m,app_store,iOS,P1M,3,41.916,0.0,41.916,0,0,
2023-09-13,AE,lists_4799_1y,app_store,iOS,P1Y,1,33.592999999999996,33.592999999999996,0.0,0,0,
2023-09-13,US,lists_4799_1y,app_store,iOS,P1Y,1,33.592999999999996,33.592999999999996,0.0,0,0,
2023-09-14,GB,lists_499_1m,app_store,iOS,P1M,1,18.020751500315367,0.0,18.020751500315367,0,0,
2023-09-14,US,lists_499_1m,app_store,iOS,P1M,3,27.943999999999996,27.943999999999996,0.0,0,0,
2023-09-15,US,lists_499_1m,app_store,iOS,P1M,1,10.479,0.0,10.479,0,0,
2023-09-16,US,lists_499_1m,app_store,iOS,P1M,1,10.479,10.479,0.0,0,0,
2023-09-16,PR,lists_499_1m,app_store,iOS,P1M,1,6.986,6.986,0.0,0,0,
2023-09-17,US,lists_499_1m,app_store,iOS,P1M,1,6.986,6.986,0.0,0,0,
2023-09-19,GB,lists_499_1m,app_store,iOS,P1M,1,7.1486323122123308,7.1486323122123308,0.0,0,0,
2023-09-19,US,lists_499_1m,app_store,iOS,P1M,1,10.479,10.479,0.0,0,0,
2023-09-20,GB,lists_499_1m,app_store,iOS,P1M,1,7.1523885768672155,7.1523885768672155,0.0,0,0,
2023-09-20,US,lists_4799_1y,app_store,iOS,P1Y,1,67.185999999999993,67.185999999999993,0.0,0,0,
2023-09-22,US,lists_4799_1y,app_store,iOS,P1Y,2,167.96499999999997,167.96499999999997,0.0,0,0,
2023-09-23,US,lists_499_1m,app_store,iOS,P1M,1,6.986,0.0,6.986,0,0,
2023-09-24,GB,lists_499_1m,app_store,iOS,P1M,1,10.595489927300322,0.0,10.595489927300322,0,0,
2023-09-24,US,lists_499_1m,app_store,iOS,P1M,1,17.465,17.465,0.0,0,0,
2023-09-25,ES,lists_499_1m,app_store,iOS,P1M,1,7.3820175410565962,7.3820175410565962,0.0,0,0,
2023-09-25,US,lists_499_1m,app_store,iOS,P1M,1,17.465,17.465,0.0,0,0,
2023-09-26,GB,lists_499_1m,app_store,iOS,P1M,1,10.572366998963176,0.0,10.572366998963176,0,0,
2023-09-26,US,lists_499_1m,app_store,iOS,P1M,2,17.465,0.0,17.465,0,0,
2023-09-27,US,lists_499_1m,app_store,iOS,P1M,3,27.943999999999996,20.958,6.986,0,0,
2023-09-27,US,lists_4799_1y,app_store,iOS,P1Y,1,67.185999999999993,67.185999999999993,0.0,0,0,
2023-09-28,US,lists_499_1m,app_store,iOS,P1M,1,10.479,0.0,10.479,0,0,
2023-09-28,US,lists_4799_1y,app_store,iOS,P1Y,1,67.185999999999993,67.185999999999993,0.0,0,0,
2023-09-30,GB,lists_499_1m,app_store,iOS,P1M,1,10.559123719010483,0.0,10.559123719010483,0,0,
2023-09-30,US,lists_499_1m,app_store,iOS,P1M,2,20.958,13.972,6.986,0,0,
2023-09-30,US,lists_4799_1y,app_store,iOS,P1Y,1,100.779,100.779,0.0,0,0,
2023-10-01,ES,lists_499_1m,app_store,iOS,P1M,1,7.3326244511453211,0.0,7.3326244511453211,0,0,
2023-10-01,US,lists_499_1m,app_store,iOS,P1M,3,31.436999999999994,6.986,24.450999999999997,0,0,
2023-10-02,US,lists_499_1m,app_store,iOS,P1M,3,27.943999999999996,6.986,20.958,0,0,
2023-10-04,US,lists_499_1m,app_store,iOS,P1M,4,34.929999999999993,6.986,27.943999999999996,0,0,
2023-10-05,US,lists_499_1m,app_store,iOS,P1M,3,38.422999999999995,10.479,27.943999999999996,0,0,
2023-10-06,US,lists_499_1m,app_store,iOS,P1M,4,41.916,17.465,24.450999999999997,0,0,
2023-10-07,US,lists_499_1m,app_store,iOS,P1M,5,73.353,10.479,62.874000000000009,0,0,
2023-10-07,US,lists_4799_1y,app_store,iOS,P1Y,1,100.779,100.779,0.0,0,0,
2023-10-08,US,lists_499_1m,app_store,iOS,P1M,3,34.929999999999993,13.972,20.958,0,0,
2023-10-09,GB,lists_499_1m,app_store,iOS,P1M,1,10.596358842731824,0.0,10.596358842731824,0,0,
2023-10-09,US,lists_499_1m,app_store,iOS,P1M,2,20.958,0.0,20.958,0,0,
2023-10-10,US,lists_499_1m,app_store,iOS,P1M,4,34.929999999999993,13.972,20.958,0,0,
2023-10-11,US,lists_499_1m,app_store,iOS,P1M,1,6.986,6.986,0.0,0,0,
2023-10-11,US,lists_4799_1y,app_store,iOS,P1Y,1,100.779,100.779,0.0,0,0,
2023-10-12,US,lists_499_1m,app_store,iOS,P1M,2,17.465,17.465,0.0,0,0,
2023-10-13,US,lists_499_1m,app_store,iOS,P1M,3,31.436999999999994,10.479,20.958,0,0,
2023-10-13,GB,lists_4799_1y,app_store,iOS,P1Y,1,67.185999999999993,67.185999999999993,0.0,0,0,
2023-10-14,US,lists_499_1m,app_store,iOS,P1M,1,10.479,0.0,10.479,0,0,
2023-10-15,US,lists_499_1m,app_store,iOS,P1M,1,10.479,0.0,10.479,0,0,
2023-10-17,US,lists_499_1m,app_store,iOS,P1M,1,6.986,0.0,6.986,0,0,
2023-10-18,US,lists_499_1m,app_store,iOS,P1M,5,41.916,41.916,0.0,0,0,
2023-10-18,US,lists_4799_1y,app_store,iOS,P1Y,2,167.96499999999997,167.96499999999997,0.0,0,0,
2023-10-19,US,lists_499_1m,app_store,iOS,P1M,3,31.436999999999994,20.958,10.479,0,0,
